iter	RMSE
0	0.6887624366
1	0.6633737228
2	0.6403528788
3	0.6194264901
4	0.6014393132
5	0.5839731134
6	0.5692443737
7	0.5560364194
8	0.544740992
9	0.5344611915
10	0.5254051811
11	0.5170648033
12	0.5096948513
13	0.5021271929
14	0.4964814093
15	0.4915105174
16	0.4856588067
17	0.4814626555
18	0.4767359008
19	0.4726346399
20	0.4692355041
21	0.4661074895
22	0.4624629607
23	0.4593323316
24	0.4566543857
25	0.4547117558
26	0.4528573379
27	0.4504365393
28	0.4490341803
29	0.447265133
30	0.4454288634
31	0.4438085623
32	0.4427352398
33	0.4412998617
34	0.4399534005
35	0.4383131455
36	0.4374980215
37	0.4360149658
38	0.4347357098
39	0.4337359045
40	0.4330997952
41	0.4321175223
42	0.4314757462
43	0.4307503409
44	0.4297313292
45	0.4290792081
46	0.4282879603
47	0.4273813237
48	0.4266563996
49	0.4262773706
50	0.425418248
51	0.4247150754
52	0.4241636595
53	0.4236855261
54	0.4232315319
55	0.4226473109
56	0.4221480231
57	0.4217517755
58	0.4211579788
59	0.4208526992
60	0.4205897562
61	0.4202308893
62	0.4197249097
63	0.4192882221
64	0.4187109028
65	0.4184916356
66	0.4180488671
67	0.417440204
68	0.4169921958
69	0.4167799381
70	0.4163749265
71	0.4159232305
72	0.415747801
73	0.4153078309
74	0.4148859219
75	0.4144433565
76	0.4142661745
77	0.4140904073
78	0.4138738248
79	0.4135037914
80	0.4132357235
81	0.4127743863
82	0.4126065194
83	0.4124370199
84	0.412177518
85	0.4118294198
86	0.4115555408
87	0.4110818749
88	0.4106223633
89	0.4104566121
90	0.4102932745
91	0.4100667032
92	0.409785238
93	0.4092157979
94	0.4090021511
95	0.408527701
96	0.4083764351
97	0.408192932
98	0.4080169678
99	0.407769359
100	0.4077408971
101	0.4074994757
102	0.4070549115
103	0.4067576456
104	0.4066273398
105	0.406495633
106	0.406324667
107	0.4062197447
108	0.4060691364
109	0.4057917181
110	0.4056589164
111	0.4054079187
112	0.4052375678
113	0.405084941
114	0.4049030905
115	0.4048274339
116	0.404737419
117	0.4046691783
118	0.4044366652
119	0.4042350266
120	0.4041592912
121	0.4040036157
122	0.4038628571
123	0.4037190066
124	0.4035437908
125	0.4034091856
126	0.4032810438
127	0.4031047429
128	0.4029539818
129	0.4028411232
130	0.4026536835
131	0.4024932867
132	0.4021861207
133	0.4018631399
134	0.4016194998
135	0.4014707961
136	0.4012495838
137	0.4011325655
138	0.4009239779
139	0.400816197
140	0.4005009757
141	0.4004045719
142	0.4002494096
143	0.4001230587
144	0.4000154745
145	0.3998563531
146	0.3996726997
147	0.3995192727
148	0.3992940886
149	0.398946629
150	0.3987547941
151	0.3986334391
152	0.3985064116
153	0.3983707836
154	0.3982703865
155	0.3981093946
156	0.3979361067
157	0.3977393469
158	0.3976134017
159	0.3974688447
160	0.3973087394
161	0.397194844
162	0.3970257091
163	0.3968867991
164	0.3966648199
165	0.3965169291
166	0.3964038802
167	0.3962067272
168	0.396037394
169	0.3959401087
170	0.3957884079
171	0.3955993577
172	0.3955295372
173	0.3954263678
174	0.3952473124
175	0.3951706537
176	0.3950703486
177	0.3950092546
178	0.3949445792
179	0.3948390994
180	0.3947256421
181	0.3946075423
182	0.3944542812
183	0.3943762089
184	0.3943007263
185	0.3942431604
186	0.3941143485
187	0.3939908567
188	0.3939163205
189	0.393739868
190	0.3936628215
191	0.3934896647
192	0.3934374981
193	0.393279451
194	0.3931969413
195	0.3931047503
196	0.3930135834
197	0.3928939678
198	0.3927536328
199	0.3926996814
200	0.3926259258
201	0.3924890192
202	0.3923341235
203	0.3921704838
204	0.3919726508
205	0.3918971353
206	0.391816006
207	0.3916994409
208	0.3915906205
209	0.3914344188
210	0.391290171
211	0.3912142253
212	0.3910920884
213	0.3910067855
214	0.3909437033
215	0.3908653322
216	0.3908098604
217	0.390662425
218	0.3905547481
219	0.3904787263
220	0.390354714
221	0.3902695153
222	0.3902112289
223	0.390098143
224	0.3900458521
225	0.3899779158
226	0.3898891553
227	0.3898444057
228	0.38969649
229	0.3895993965
230	0.3895567467
231	0.3894482314
232	0.3893756249
233	0.3892347576
234	0.3891434293
235	0.3890403619
236	0.3889536824
237	0.3888849864
238	0.3888145363
239	0.3887412949
240	0.3886464223
241	0.388540727
242	0.3883656378
243	0.3882683283
244	0.388204233
245	0.3881393633
246	0.3880683037
247	0.388015644
248	0.3879184394
249	0.3877603062
250	0.3876671527
251	0.3876213589
252	0.3875105212
253	0.3874488736
254	0.3873675004
255	0.3872801607
256	0.3871387122
257	0.3870807664
258	0.3869962207
259	0.3868946447
260	0.3868205968
261	0.3867727
262	0.3867089261
263	0.3866275943
264	0.3865467451
265	0.3864782619
266	0.3863983397
267	0.3862332258
268	0.3861846543
269	0.3861329592
270	0.3860754977
271	0.3859839571
272	0.3859217943
273	0.3858811756
274	0.3858076019
275	0.3857066255
276	0.3856707205
277	0.3855928116
278	0.3855209647
279	0.3854463541
280	0.3853806554
281	0.3853002299
282	0.3852272401
283	0.3851730172
284	0.3850986564
285	0.3850505091
286	0.3849686554
287	0.3849131239
288	0.3848390213
289	0.3847956791
290	0.3847143342
291	0.3845692392
292	0.3845039579
293	0.384463897
294	0.3843589549
295	0.384237929
296	0.3841961216
297	0.384138952
298	0.384054576
299	0.3840184917
300	0.3839438774
301	0.3838823011
302	0.3838380018
303	0.3837994642
304	0.3836927904
305	0.3836398961
306	0.3835537599
307	0.3835092205
308	0.3834521398
309	0.383382958
310	0.3833207245
311	0.383253121
312	0.3831926967
313	0.3831073496
314	0.3830117026
315	0.3829751356
316	0.3829424888
317	0.3828912713
318	0.3828493701
319	0.3827823766
320	0.382729299
321	0.3826761852
322	0.3825949891
323	0.3825568621
324	0.3824703513
325	0.3824634947
326	0.3824291889
327	0.382366528
328	0.382323186
329	0.3822709076
330	0.3822307331
331	0.3821655566
332	0.3821049974
333	0.3820734892
334	0.3819645238
335	0.3819146768
336	0.381848324
337	0.3818127316
338	0.3817173089
339	0.3816040261
340	0.3815561247
341	0.3815128796
342	0.3814639691
343	0.3814120331
344	0.3813338512
345	0.3812728725
346	0.3812352071
347	0.3812026307
348	0.3811753623
349	0.3811323864
350	0.3810692653
351	0.3810106897
352	0.3809696143
353	0.3809285535
354	0.3808829087
355	0.3807837288
356	0.3807521469
357	0.3806689857
358	0.3806043079
359	0.3805790307
360	0.3805085453
361	0.3804704693
362	0.3804236629
363	0.3803624172
364	0.380312872
365	0.3802757135
366	0.3802473519
367	0.3801907593
368	0.3801371856
369	0.3800934493
370	0.3800244599
371	0.3799899101
372	0.3799220928
373	0.3798719455
374	0.3798236358
375	0.3797929917
376	0.3797200406
377	0.3796895447
378	0.3795935555
379	0.3795525083
380	0.3794635526
381	0.379414982
382	0.3793611082
383	0.3792764052
384	0.3792514989
385	0.3792020056
386	0.3791758588
387	0.3791110723
388	0.3790778865
389	0.379001959
390	0.378960418
391	0.378916562
392	0.3788358131
393	0.3787756973
394	0.3787361925
395	0.3786816674
396	0.3786543824
397	0.3786210621
398	0.3785840979
399	0.3785483696
400	0.3785233581
401	0.3784889338
402	0.3784029553
403	0.3783071704
404	0.3782632215
405	0.378187117
406	0.3781228306
407	0.3780723654
408	0.3780573352
409	0.378042658
410	0.3779996153
411	0.3779447601
412	0.3778879117
413	0.3778337107
414	0.3777948186
415	0.377755185
416	0.3776753983
417	0.377648015
418	0.3776161667
419	0.3775864725
420	0.3775328014
421	0.3774902821
422	0.3774262685
423	0.3774141915
424	0.3773795415
425	0.3773192538
426	0.3772611742
427	0.3772215067
428	0.3771971911
429	0.377184778
430	0.3771274356
431	0.3770724063
432	0.3770381352
433	0.377000571
434	0.3769681806
435	0.3769162092
436	0.3768758668
437	0.3768392438
438	0.3768163142
439	0.3767819698
440	0.3767365439
441	0.3767087368
442	0.3766684081
443	0.3766229062
444	0.3765811898
445	0.3765264163
446	0.3765136016
447	0.3764888374
448	0.3764551105
449	0.3763927847
450	0.3763646315
451	0.3763291336
452	0.3762838679
453	0.376265357
454	0.3762259743
455	0.37621419
456	0.3761812011
457	0.3761299492
458	0.3761061357
459	0.3760683524
460	0.3760106392
461	0.3759754191
462	0.375955059
463	0.3759071258
464	0.3758532588
465	0.3758503857
466	0.3757883773
467	0.3757660951
468	0.3757329547
469	0.3756901537
470	0.3756330898
471	0.3756010643
472	0.3755506114
473	0.3755247923
474	0.3754934382
475	0.375453982
476	0.3753978148
477	0.3753564933
478	0.3753237969
479	0.3752746923
480	0.3752217737
481	0.3751784668
482	0.3751237743
483	0.3751035208
484	0.3750820875
485	0.375043021
486	0.3750248685
487	0.3749455175
488	0.3749279164
489	0.3748662188
490	0.3748163543
491	0.3747901356
492	0.3747301995
493	0.3746910523
494	0.3746362131
495	0.3746059265
496	0.374566542
497	0.3745437748
498	0.3745134258
499	0.3744896292
500	0.3744175645
501	0.3743497542
502	0.3743125602
503	0.3742753296
504	0.3742160586
505	0.374182196
506	0.3741541308
507	0.3741157393
508	0.3740915184
509	0.374065835
510	0.3740185483
511	0.3739794271
512	0.3739515913
513	0.3739130186
514	0.3738536566
515	0.3738215821
516	0.3737995791
517	0.3737742983
518	0.3737640933
519	0.3737058205
520	0.3736777741
521	0.3736281638
522	0.3735996812
523	0.3735971516
524	0.3735713915
525	0.3734818643
526	0.3734464765
527	0.3734123332
528	0.3733366705
529	0.37330307
530	0.3732581181
531	0.3731933694
532	0.3731693079
533	0.3731260482
534	0.3730492591
535	0.37301684
536	0.3729709705
537	0.3729434689
538	0.372891684
539	0.3728634813
540	0.3728412065
541	0.3728142102
542	0.3727919527
543	0.3727897894
544	0.3727616987
545	0.3727400807
546	0.3726826651
547	0.3726336718
548	0.3726069097
549	0.3725972223
550	0.372560289
551	0.3725310722
552	0.3725191628
553	0.3724718994
554	0.372425987
555	0.3723868423
556	0.3723766805
557	0.3723554578
558	0.3723205373
559	0.3722862139
560	0.3722514937
561	0.3722071048
562	0.3721684832
563	0.3721361515
564	0.372082699
565	0.3720251421
566	0.3719629281
567	0.3719110468
568	0.3719073404
569	0.371857715
