iter	Passed	Remaining
0	55	55928
1	63	31449
2	70	23567
3	83	20781
4	95	19082
5	106	17673
6	116	16568
7	128	15939
8	135	14929
9	144	14321
10	152	13683
11	161	13298
12	171	12985
13	181	12766
14	190	12492
15	198	12188
16	212	12282
17	222	12111
18	229	11855
19	237	11637
20	245	11444
21	259	11523
22	270	11470
23	281	11434
24	289	11288
25	299	11202
26	309	11167
27	319	11096
28	326	10926
29	335	10841
30	343	10736
31	350	10609
32	360	10565
33	368	10465
34	377	10399
35	387	10385
36	395	10294
37	404	10232
38	411	10147
39	421	10121
40	431	10094
41	444	10131
42	452	10075
43	462	10058
44	473	10053
45	480	9966
46	491	9961
47	502	9960
48	508	9877
49	518	9844
50	530	9878
51	543	9905
52	552	9874
53	558	9788
54	571	9818
55	582	9812
56	588	9739
57	600	9754
58	610	9731
59	616	9657
60	626	9638
61	632	9568
62	642	9556
63	651	9526
64	661	9522
65	668	9453
66	676	9415
67	690	9460
68	696	9401
69	704	9355
70	713	9340
71	722	9309
72	733	9309
73	739	9257
74	746	9211
75	758	9221
76	768	9207
77	777	9191
78	787	9177
79	798	9186
80	809	9182
81	819	9173
82	825	9115
83	831	9071
84	838	9025
85	847	9010
86	858	9004
87	867	8990
88	875	8964
89	881	8911
90	889	8887
91	901	8894
92	910	8883
93	938	9047
94	964	9184
95	997	9393
96	1018	9485
97	1041	9585
98	1054	9594
99	1075	9677
100	1084	9654
101	1099	9676
102	1118	9740
103	1138	9808
104	1157	9868
105	1179	9948
106	1209	10094
107	1227	10139
108	1242	10160
109	1272	10292
110	1302	10431
111	1315	10429
112	1322	10381
113	1330	10340
114	1348	10379
115	1365	10408
116	1376	10384
117	1381	10328
118	1390	10297
119	1400	10270
120	1406	10217
121	1416	10194
122	1425	10167
123	1432	10119
124	1439	10076
125	1447	10040
126	1453	9994
127	1462	9963
128	1472	9944
129	1482	9923
130	1500	9954
131	1509	9924
132	1521	9916
133	1527	9872
134	1536	9846
135	1545	9821
136	1554	9794
137	1564	9771
138	1571	9733
139	1581	9711
140	1591	9696
141	1597	9652
142	1604	9616
143	1616	9611
144	1626	9592
145	1641	9599
146	1651	9580
147	1663	9574
148	1670	9538
149	1679	9519
150	1687	9486
151	1698	9473
152	1704	9434
153	1713	9415
154	1724	9399
155	1729	9359
156	1739	9338
157	1746	9305
158	1754	9282
159	1761	9249
160	1770	9224
161	1777	9195
162	1785	9169
163	1794	9146
164	1801	9116
165	1809	9091
166	1816	9059
167	1830	9064
168	1848	9091
169	1858	9072
170	1874	9086
171	1882	9063
172	1888	9028
173	1899	9018
174	1908	8997
175	1919	8987
176	1927	8961
177	1932	8926
178	1940	8901
179	1958	8920
180	1969	8913
181	1977	8886
182	1988	8877
183	1997	8858
184	2007	8845
185	2018	8832
186	2032	8834
187	2045	8833
188	2061	8844
189	2079	8865
190	2097	8884
191	2124	8939
192	2134	8924
193	2151	8937
194	2167	8949
195	2174	8920
